SampleID	Group
HSL001	HSL
HSL002	HSL
HSL003	HSL
HSL004	HSL
HSL005	HSL
HSL006	HSL
HSL007	HSL
HSL008	HSL
HSL009	HSL
HSL010	HSL
HSL011	HSL
HSL012	HSL
HSL013	HSL
HSL014	HSL
HSL015	HSL
HSL016	HSL
HSL017	HSL
HSL018	HSL
HSL019	HSL
HSL020	HSL
MF000	MF
MF002	MF
MF003	MF
MF005	MF
MF006	MF
MF008	MF
MF009	MF
MF010	MF
MF011	MF
MF012	MF
MF013	MF
MF014	MF
MF015	MF
MF016	MF
MF017	MF
MF018	MF
MF019	MF
MF020	MF
SA001	SA
SA002	SA
SA003	SA
SA004	SA
SA005	SA
SA006	SA
SA007	SA
SA008	SA
SA009	SA
SA010	SA
SA011	SA
SA012	SA
SA013	SA
SA014	SA
SA015	SA
SA016	SA
SA017	SA
SA018	SA
SA019	SA
SA020	SA
